e,identifier,filename,youtubeid,vimeoid,title,,english_title,,date,,duration,format,type,director,producer,production_company,writer,cast,director_of_photography,editor,music,set_design,sound,camera,construction,narrator,contributors,image_restoration,audio_restoration,holding_institution,description,,notes,subject,presentation_title,presenter,presenter_affiliation,,,,,,,location,latitude,longitude,rights,rightsstatement
1,1,,yUjN_LUoBdU,,Hasta la Vuelta,,,,1936,,7 min,"MOV, 35mm, b-w, sound",Moving Image,Antonio Ber Ciani,Alfredo P. Murúa,S.I.D.E (Sociedad Impresora de Discos Electrofónicos); Estudios Cinematográficos Argentinos,,Rudy Ayala y su Jazz,,Daniel Spósito,,Juan Manuel Concado,Alfredo P. Murúa,Gumer Barreiros,Armando Scelfo,,,,,Fernando Martín Peña ,,,"Original source is a nitrate print, preserved in 35mm; scanned 2024. ",Orphan Film Symposium 2024: Work and Play,"Variedad musical no. 1, Rudy Ayala y su jazz",,,,,,,,,Museum of the Moving Image,-34.60385,-58.41065,,http://rightsstatements.org/vocab/NoC-US/1.0/
2,2,,kzBMhbwI00U,,La vida a oscuras,,Life in the Dark,,2023,,74 min,"DCP, color, sound",Moving Image,Enrique Bellande,Pablo Chernov,Alina Films; Alambrado Cine,,"Fernando Martin Pena; Brett Wood
",,Andrés Tambornino,Fernando Kabusacki,,Pablo Gamberg; Guillermo Picco,Enrique Bellande; Santiago Melazzini,,,,,,,,,In Spanish with English subtitles,Orphan Film Symposium 2024: Work and Play,,,,,,,,,,Museum of the Moving Image,-34.60385,-58.41065,,
3,3,,,https://vimeo.com/851020084,Three American Beauties and One Argentinian,,,,2024,,1 min,MP4,Moving Image,,,,,,,David Bagnal,Arthur Kleiner,,,,,,,,,,"Three American Beauties (1906), National Library of Norway [stream]. La bandera Argentina (?) [Ale Ojeda YT link 2022] 2 secs., animation from a strip of thirteen film frames printed (in negative) on the cover of sheet music for Chinita, tango, for the movie Corazón ante la ley (1929-30). Video reposted as “1897 - La bandera Argentina (The Argentine flag - preserved in flipbook) - Eugèni Py” [@cinemaemdominiopublico YT link 2023] states this is one of the earliest films shot in Argentina. Music source: ""3 American Beauties"" sheet music, Arthur Kleiner Collection of Silent Movie Music, U of Minnesota Libraries",,"Music composed by Arthur Kleiner, arranged and performed by Erik Bagnall (piano)",Orphan Film Symposium 2024: Work and Play,,,,,,,,,,Museum of the Moving Image,,,,
4,4,,,,Small Electric Currents and Intravascular Thrombosis,,,,1959-61,,16 min,16mm; color; sound,Moving Image,,Philip N. Sawyer; Roman Vishniac,,,,,,,,,,,,E. E. Suckling; S. A. Wesolowski,,,"State University of New York; Downstate Medical Center, Brooklyn; National Heart Institute; National Institutes of Health",,,,Orphan Film Symposium 2024: Work and Play,"The Vishniac-Sawyer Thrombosis Research Films, Newfound Work ",Howard J. Radzyner,,,,,,,,Museum of the Moving Image,,,,
5,5,,,,Tissue Injury and Intravascular Thrombosis,,,,1959-61,,16 min,16mm; color; sound,Moving Image,,Philip N. Sawyer; Roman Vishniac,,,,,,,,,,,,E. E. Suckling; S. A. Wesolowski,,,"State University of New York; Downstate Medical Center, Brooklyn; National Heart Institute; National Institutes of Health",,,,Orphan Film Symposium 2024: Work and Play,"The Vishniac-Sawyer Thrombosis Research Films, Newfound Work ",Howard J. Radzyner,,,,,,,,Museum of the Moving Image,,,,
6,6,,,,Recent Advances in Fracture Treatment. Part 1,,,,1936,,21 min,MOV; 16mm; b&w; silent,Moving Image,R. Watson Jones,,,,,,,,,,,,,,,,"British Medical Association; Wellcome Collection
",https://wellcomecollection.org/works/au5m2hpa,,Excerpts from films in the Wellcome Collection,Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
7,7,,,,The Functional Treatment of Fractures. Part One,,,,1937,,12 min,MOV; 16mm; silent; b&w,Moving Image,,T.J. Smith,Nephew Ltd.,,,Raymond Davies; Sutton Coldfield.,,,,,,,,,,,British Medical Association; Wellcome Collection; Wellcome Collection,wellcomecollection.org/works/a4ewt49n,,Excerpts from films in the Wellcome Collection,Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
8,8,,,,Family Doctor,,,,1946,,18 min,MOV; 16mm; b&w; sound; restored,Moving Image,Richard Massingham.,Lewis Grant Wallace,Everyman,,Kynaston Reeves (as Dr. Henry Manning); Michael Sherwin (Dr. John Manning); Mr. Fraser (John Carol); Mrs. Fraser (Helen Horsey); Dorothy Fraser (Helen Stephens); Mrs. Wilcox (Lola Duncan),,,,,,,,,,,,British Medical Association; Wellcome Collection,wellcomecollection.org/works/dfqqyrnt,,Excerpts from films in the Wellcome Collection,Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
9,9,,,,"Open Drop Ether, Technique of Anaesthesia Series No. 2",,,,1944,,18 min,MOV; 16mm; b&w; sound,Moving Image,Margaret Thomson,,Realist Film Unit.,,,A.E. Jeakins,,,,,,,,"Made with the cooperation of the Department of Anaesthetics, Westminister Hospital, London.",,,Imperial Chemical Industries;  Wellcome Collection,wellcomecollection.org/works/xe9csvw8,,Excerpts from films in the Wellcome Collection,Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
10,10,,,,Ethyl chloride anaesthesia for removal of tonsils and adenoids,,,,1940-1949,,5 min,MOV; 16mm; color; silent,Moving Image,,Stanley Schofield,,,J. C. Hogg (surgeon); John Challis (anesthetist),,,,,,,,,"Produced by Stanley Schofield at King George Hospital, Ilford.",,,Wellcome Collection,wellcomecollection.org/works/zxvebpgr,,Excerpts from films in the Wellcome Collection,Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
